Species,Group,X,Y
Chicken,1,106.2798863918,-244.2570238439
Chicken,2,-239.5089534492,542.5554187803
Chicken,3,-22.760815417,-39.5314370485
Chicken,4,45.178183336,-155.5218190646
Chicken,5,19.4086411228,71.8180904794
Chicken,6,-191.5359628123,307.8053537634
Chicken,7,47.9795514113,-128.7606692398
Chicken,8,-42.3811635722,-5.9483830473
Chicken,9,121.4864156518,-155.1761685797
Chicken,10,55.7159957875,-94.6301537983
Chicken,11,-55.7351933357,68.8778850783
Chicken,12,8.1988875571,-76.4991456393
Chicken,13,89.3968513207,-71.3731549758
Chicken,14,58.2776760075,-19.358792864
