Calories,Protein,Total Fat,Saturated Fat,Mono Fat,Poly Fat,Carbohydrate,Dietary Fiber,Sugars,Calcium,Iron,Sodium,Vitamin C,Vitamin A,Cholesterol
Fats and Oils,Legumes and Legume Products,Fats and Oils,Fats and Oils,Fats and Oils,Fats and Oils,Sweets,Cereal Grains and Pasta,Sweets,Baked Products,Spices and Herbs,Spices and Herbs,Baby Foods,Fats and Oils,Beef Products
American Indian/Alaska Native Foods,Sweets,American Indian/Alaska Native Foods,Dairy and Egg Products,Nut and Seed Products,Nut and Seed Products,Beverages,Vegetables and Vegetable Products,Beverages,Sweets,American Indian/Alaska Native Foods,Baked Products,Beverages,American Indian/Alaska Native Foods,"Lamb, Veal, and Game Products"
Pork Products,Dairy and Egg Products,Pork Products,Nut and Seed Products,American Indian/Alaska Native Foods,American Indian/Alaska Native Foods,Fruits and Fruit Juices,Spices and Herbs,Fruits and Fruit Juices,Breakfast Cereals,Breakfast Cereals,Sweets,Vegetables and Vegetable Products,Beef Products,Pork Products
Beef Products,American Indian/Alaska Native Foods,Beef Products,Beef Products,Pork Products,Spices and Herbs,Cereal Grains and Pasta,Breakfast Cereals,Dairy and Egg Products,Spices and Herbs,Baby Foods,"Soups, Sauces, and Gravies",Fruits and Fruit Juices,Vegetables and Vegetable Products,Dairy and Egg Products
Nut and Seed Products,Beverages,Dairy and Egg Products,Pork Products,Legumes and Legume Products,Fast Foods,Breakfast Cereals,American Indian/Alaska Native Foods,Baby Foods,Legumes and Legume Products,Vegetables and Vegetable Products,Finfish and Shellfish Products,Spices and Herbs,"Lamb, Veal, and Game Products",Fats and Oils
Dairy and Egg Products,Finfish and Shellfish Products,Nut and Seed Products,"Lamb, Veal, and Game Products",Beef Products,Sweets,Legumes and Legume Products,Legumes and Legume Products,Snacks,Nut and Seed Products,Beef Products,Legumes and Legume Products,Sweets,Spices and Herbs,Finfish and Shellfish Products
"Lamb, Veal, and Game Products",Nut and Seed Products,"Lamb, Veal, and Game Products",Sweets,Poultry Products,Baked Products,Snacks,Beverages,Baked Products,American Indian/Alaska Native Foods,"Lamb, Veal, and Game Products",Nut and Seed Products,American Indian/Alaska Native Foods,Poultry Products,Poultry Products
Sweets,Baked Products,Poultry Products,Spices and Herbs,"Lamb, Veal, and Game Products","Soups, Sauces, and Gravies",Baby Foods,Sweets,Breakfast Cereals,Snacks,Sweets,Dairy and Egg Products,Breakfast Cereals,Sausages and Luncheon Meats,American Indian/Alaska Native Foods
Fast Foods,Pork Products,Sweets,Poultry Products,Dairy and Egg Products,Legumes and Legume Products,Baked Products,Nut and Seed Products,Nut and Seed Products,Beverages,Poultry Products,Vegetables and Vegetable Products,Legumes and Legume Products,Fruits and Fruit Juices,Fast Foods
,"Lamb, Veal, and Game Products",Fast Foods,Baked Products,"Soups, Sauces, and Gravies",Cereal Grains and Pasta,Vegetables and Vegetable Products,Baked Products,American Indian/Alaska Native Foods,Dairy and Egg Products,Beverages,American Indian/Alaska Native Foods,Snacks,Snacks,Sausages and Luncheon Meats
